,Unnamed: 0,wav_filename,wav_filesize,transcript,ds_preds,sp_preds,ds_wer,sp_wer,google_preds,google_wer
0,9753,/media/aditya/AE02DDA702DD7535/Users/Aditya/Downloads/IndicTTS/resampled/female/gujarati_female_english/english/wav/c0027.wav,1128248,this alerted the cook who was in the neighboring room and he caught hold of the crow and killed it,this alerted the cook who was in the neighboring room and he caught hold of the crow and kill it,thus della dead the cook who was in the neighboring room and he caught hold of the cold and killed it,0.05,0.2,this alerted the cook who was in the neighbouring room and he got hold of The Crow and killed it,0.1
1,2312,/media/aditya/AE02DDA702DD7535/Users/Aditya/Downloads/IndicTTS/resampled/male/tamil_male_english/english/wav/d0662.wav,361964,the rest is in the hands of god said shaam,the rest is in the hands of god the charm,the rest is in the hands of god said shaam,0.2,0.0,the rest is in the hands of God said sham,0.1
2,9027,/media/aditya/AE02DDA702DD7535/Users/Aditya/Downloads/IndicTTS/resampled/female/gujarati_female_english/english/wav/e0990.wav,458168,the bird thus gave the fruit to his wife,the bird does give the fruit to his wife,the bird thus gave the fruit to his wife,0.2222222222222222,0.0,the bird does gave the fruit to his why,0.2222222222222222
3,7555,/media/aditya/AE02DDA702DD7535/Users/Aditya/Downloads/IndicTTS/resampled/male/tamil_male_english/english/wav/d1112.wav,374432,i havent tasted a good meal so far even on a single day,i haven't tasted a good need so far even on a single day,i havent tasted a good meal so far even on a single day,0.15384615384615385,0.0,I haven't tasted a good meal so far even on a single day,0.07692307692307693
4,8028,/media/aditya/AE02DDA702DD7535/Users/Aditya/Downloads/IndicTTS/resampled/male/rajasthani_male_english/english/wav/a0207.wav,152378,how much was it,how much was it,how much was it,0.0,0.0,how much was it,0.0
5,7601,/media/aditya/AE02DDA702DD7535/Users/Aditya/Downloads/IndicTTS/resampled/male/bengali_male_english/bengali_male_english/wav/e0758.wav,1230810,seeing wise crows new personality the first owl minister told the king and the other ministers i regard all of you as very unwise,seeing lies close new banality the first omens the told the king and the other ministers i regard all of you as very unwise,seeing wise ghost new personality the first owl minister told the king and the hammer ministers i regard all of you as very unwise,0.20833333333333331,0.08333333333333333,seeing wise Cruz new personality the first old Minister told the king and the other ministers I regard all of you as very unwise,0.08333333333333333
6,5575,/media/aditya/AE02DDA702DD7535/Users/Aditya/Downloads/IndicTTS/resampled/male/assamese_male_english/english/wav/ASM001-EN-ST113U5.wav,313898,a pair of loveless dull eyes,it bear o love less dull eyes,a pair of love less the lies,0.8333333333333334,0.6666666666666666,a pair of Lovelace doll eyes,0.3333333333333333
7,9566,/media/aditya/AE02DDA702DD7535/Users/Aditya/Downloads/IndicTTS/resampled/female/hindi_female_english/english/wav/engtext_1042.wav,642758,he was shook deeply with the thought that his mother was dead even before her quench for mangoes was fulfilled,he was shook deeply with the tar that his mother was dead even before her quench for mangles was fulfilled,he was shook deeply with the thought that his mother was dead even before her quench for mangoes was fulfilled,0.1,0.0,he was shook deeply with the thought that his mother was dead even before her quench for mangoes was fulfilled,0.0
8,4464,/media/aditya/AE02DDA702DD7535/Users/Aditya/Downloads/IndicTTS/resampled/female/telugu_female_english/telugu_female_english/wav/text1199.wav,272174,it is the nearest refuge,if these the nearest refuge,it is the nearest refuge,0.4,0.0,it is the nearest Refuge,0.0
9,2714,/media/aditya/AE02DDA702DD7535/Users/Aditya/Downloads/IndicTTS/resampled/female/telugu_female_english/telugu_female_english/wav/EM_00046.wav,4906738,she felt herself a most fortunate woman and she had lived long enough to know how fortunate she might well be thought where the only regret was for a partial separation from friends whose friendship for her had never cooled and who could ill bear to part with her she knew that at times she must be missed and could not think without pain of emmas losing a single pleasure or suffering an hours ennui from the want of her companionableness but dear emma was of no feeble character she was more equal to her situation than most girls would have been and had sense and energy and spirits that might be hoped would bear her well and happily through its little difficulties and privations,she felt herself a most fortunate man and she had lived long enough to know how far to nat she might well be thought made the only regret was for the passion sepation from friends who was fanciful and had never cared and who could i bear to part with her she knew that at times she must be missed and could not think without pain of emma's losing a single pleasure or suffering and ours annoy from the want of a comparable less butter maas of no feeble character she was more equal to her situation than most girls would have been and had sense and energy and spirit that might be hoped would be held well and happily to its little difficulties and privations,she felt herself a most fortunate woman had she had lived long enough to pull knowhow four change my lovely heart head all regret was proportion separation from france arose friendship for and had never cold and who could adil bear to part with her she unit and then she must be missed and could not think it without being of emmas lacing facing a pleasure per suffering lanpao was ennui through the want of and and as a blessed but it emma was of no feeble tattered she was more equal to her situation and most girls would of beaten had sons and energy and space that might be hoped would bihar when happily to its little difficulties and privations,0.22399999999999998,0.408,she felt herself a most fortunate woman and she had lived long enough to know how fortunate she might well be tarred with only regret was for a partial separation from friends whose friendship for that had never called and who could heal better to part with her she knew that at the time she must be missed and cannot think without paying off Emma's losing a single pleasure are suffering and I was annoying from the want of her compatible list but Emma was of no Fable character she wasn't what equal to her situation than most girls would have been and had sense and energy and spirits that might be hoped would be well and happily through its little difficulties and privations,0.216
